name,full_name,tier1,tier,event_type,month,day,year_offset,url,notes,notes_file,acceptance_rate
SC,SC (Supercomputing),true,top,conference,11,15,0,https://sc26.supercomputing.org,,,~18%
SC,SC (Supercomputing),true,top,deadline,4,8,0,https://sc26.supercomputing.org,,,~18%
IPDPS,IEEE International Parallel and Distributed Processing Symposium,true,top,conference,5,25,0,https://www.ipdps.org,,,~23%
IPDPS,IEEE International Parallel and Distributed Processing Symposium,true,top,deadline,10,9,-1,https://www.ipdps.org,,,~23%
PPoPP,Principles and Practice of Parallel Programming,true,top,conference,1,25,0,https://ppopp26.sigplan.org,,,~21%
PPoPP,Principles and Practice of Parallel Programming,true,top,deadline,9,1,-1,https://ppopp26.sigplan.org,,,~21%
ASPLOS,ACM International Conference on Architectural Support for Programming Languages and Operating Systems,true,top,conference,4,5,0,https://asplos-conference.org,Approximate dates; verify for current year,notes/ASPLOS.md,~19%
ASPLOS,ACM International Conference on Architectural Support for Programming Languages and Operating Systems,true,top,deadline,11,1,-1,https://asplos-conference.org,Approximate dates; verify for current year,notes/ASPLOS.md,~19%
HPCA,IEEE International Symposium on High Performance Computer Architecture,true,top,conference,3,7,0,https://hpca-conf.org,Approximate dates; verify for current year,notes/HPCA.md,~20%
HPCA,IEEE International Symposium on High Performance Computer Architecture,true,top,deadline,8,9,-1,https://hpca-conf.org,Approximate dates; verify for current year,notes/HPCA.md,~20%
TACO,ACM Transactions on Architecture and Code Optimization,true,top,conference,10,18,0,https://taco.acm.org,Rolling review journal presented at MICRO; conference date is approximate MICRO date,notes/TACO.md,~30%
TACO,ACM Transactions on Architecture and Code Optimization,true,top,deadline,7,1,0,https://taco.acm.org,Approximate soft deadline for MICRO presentation; rolling review,notes/TACO.md,~30%
HPDC,International Symposium on High-Performance Parallel and Distributed Computing,true,regular,conference,7,15,0,https://hpdc.sci.utah.edu/2026/,,notes/HPDC.md,~25%
HPDC,International Symposium on High-Performance Parallel and Distributed Computing,true,regular,deadline,2,5,0,https://hpdc.sci.utah.edu/2026/,,notes/HPDC.md,~25%
ICS,International Conference on Supercomputing,true,regular,conference,7,15,0,https://dipsa-qub.github.io/ICS2026-webpage/,2 submission cycles,notes/ICS.md,~26%
ICS,International Conference on Supercomputing,true,regular,deadline,12,16,-1,https://dipsa-qub.github.io/ICS2026-webpage/,Cycle 1,notes/ICS.md,~26%
ICS,International Conference on Supercomputing,true,regular,deadline,2,9,0,https://dipsa-qub.github.io/ICS2026-webpage/,Cycle 2,notes/ICS.md,~26%
ICDCS,International Conference on Distributed Computing Systems,true,regular,conference,6,15,0,https://icdcs2026.icdcs.org/,,notes/ICDCS.md,~18%
ICDCS,International Conference on Distributed Computing Systems,true,regular,deadline,1,21,0,https://icdcs2026.icdcs.org/,,notes/ICDCS.md,~18%
